prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/9e6de821-e2b1-4e62-9954-2e319e826d8a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/9323b759-e783-4efd-8d4d-165b0f8d004a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/9c43c18c-e58a-45f2-be7f-b496b3cd7b1a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/5a225cfa-cbf6-4a7b-958f-a2b5542dad47.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/b669bdd2-fc9c-4eef-8a6d-850c684e10d0.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/66c371a1-54a7-4661-8471-da6e886b5369.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/814f74b9-8152-46f9-82df-7818cd868280.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/7143ecab-96ec-406d-b4e9-46a6eb6e5a65.mp4
