prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/be180a84-5e07-41d4-990c-17b78eccca4f.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/67d07b61-bbd8-4e33-936d-eef4b5eef8a3.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/8a37d944-8808-4a9f-939f-63cddb04696b.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/8f872572-3436-48c3-9834-534174ddc389.mp4
