prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/9028af30-bf56-4999-9bc2-9f45a4ec291b.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/7502dd1e-cb76-4f71-b258-7c99e184a44b.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/13db065e-eb18-4104-8f0b-91fd17ee5d94.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/706b8895-dae5-4087-89a4-1e473868e31a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/1e82b8c0-0d19-4eca-965d-5b855331e654.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/b6cc4c99-6f61-404a-b9b0-34a0f2c21f13.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/52e9741c-8e81-4f8d-a4fe-423b9dc28a0b.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/3d543507-303a-409c-879a-97ed60e38532.mp4
