prompt,video_url
,https://cdn.higgsfield.ai/kling_video_sample/cd1ccf7b-2c73-4830-8edb-3d280b1eb816.mp4
time changes to night,https://cdn.higgsfield.ai/kling_video_sample/03c162be-9c48-4138-80a4-f148690ab28c.mp4
woman walks,https://cdn.higgsfield.ai/kling_video_sample/af23871e-1886-4687-9ce3-d17ec7952948.mp4
woman walks,https://cdn.higgsfield.ai/kling_video_sample/3e634982-e06b-404b-936a-546d156bee7f.mp4
,https://cdn.higgsfield.ai/kling_video_sample/692d2899-3511-487c-a5c6-c491c73de7da.mp4
,https://cdn.higgsfield.ai/kling_video_sample/34453e81-ad22-4540-8bde-075817d3a031.mp4
,https://cdn.higgsfield.ai/kling_video_sample/4fb9cc3d-0bac-4d8c-a083-924fa38d6953.mp4
red,https://cdn.higgsfield.ai/kling_video_sample/d82a0e4f-5856-4464-9caf-c0c60e18b8db.mp4
