prompt,video_url
,https://cdn.higgsfield.ai/kling_video_sample/085518ed-d075-4676-886e-e6edfd5aec43.mp4
camera fast motion,https://cdn.higgsfield.ai/kling_video_sample/518d1b89-fe66-4344-b81d-b528717a657f.mp4
