prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/0d88fcfa-febd-4b8d-8aa8-9885d22da0e8.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/024934c9-e687-4ffa-b1ce-775963f22004.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/e83f9db6-6bcb-4c78-be03-81dc252768ee.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/18488dca-d0b0-48d5-a0b6-e95e45adc0b6.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/7ee042dc-e792-4a64-904c-e9cbe2680214.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/7b47060b-f942-4c8e-9742-43b6173fac0a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/6da9f909-7541-44c3-b80e-1834b0adfda1.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/6ccc0836-d811-4fd1-887f-ee1d3396ae66.mp4
