prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/46cc0a16-579e-498f-9523-45f5cdb2c01d.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/2fa6af8e-7fd0-4bf3-a750-4489f0304933.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/14b404ee-0465-4bf2-802e-70727f7e9335.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/81eee6f7-fd6b-4af8-9b87-652cf3258702.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/c0561323-0d72-4fb5-8c37-4dc22398e01c.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/4e891ac3-de8d-44f6-9d1f-c9bc80c5bd78.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/73f465bc-02d6-4d82-808f-46f1f59a9d79.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/9d4a1cbd-89b8-4fe4-b0ef-7a8f4991ef92.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/2a5a9dfa-7d67-43d1-80af-f2ed435b70e1.mp4
