prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/30409c3a-4b55-487d-9d2c-8a02994749dd.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/672e970a-d7d1-4446-8d47-4e78ad1e0248.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/d513f381-354b-4858-b813-c43324529c49.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/af9514be-a77c-4e64-94b3-3e1efe24ff3d.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/95640d76-b04b-45e7-9573-225cf3cdd796.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/80f902d8-d3d8-4bc2-b01b-8121635115fa.mp4
