prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/cc047279-7c44-4af2-8fb8-8dc1cd271db3.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/61be719c-8801-4bd7-a455-2d23beeac5c1.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/1d318b4e-9469-4ae0-82e5-16094f47ff99.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/118d5a0c-4d79-4b8f-b48d-a8d775957c0b.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/82d589b1-65d1-4a27-a649-260b157dfe4f.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/db5cf3af-ea7d-4f0b-89f2-4e2e57e88d3a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/kling_video_sample/69f6deb1-f7f4-4eb8-ba0a-af3c41f0db71.mp4
